timestamp,voltage,temperature,current,soc
2026-03-31T21:18:38.713404,20175,25,0,82
2026-03-31T21:18:41.264268,20175,25,0,82
2026-03-31T21:18:43.795482,20177,25,0,82
2026-03-31T21:18:46.376229,20175,25,0,82
2026-03-31T21:18:48.907052,20176,25,0,82
2026-03-31T21:18:51.484721,20178,25,0,82
2026-03-31T21:18:54.015406,20178,25,0,82
2026-03-31T21:18:56.597036,20177,25,0,82
2026-03-31T21:18:59.128440,20178,25,0,82
2026-03-31T21:19:01.705501,20177,25,0,82
2026-03-31T21:19:04.236586,20178,25,0,82
2026-03-31T21:19:06.814784,20177,25,0,82
2026-03-31T21:19:09.345849,20178,25,0,82
2026-03-31T21:19:11.926740,20137,25,121,82
2026-03-31T21:19:14.457665,20135,25,139,82
2026-03-31T21:19:17.031780,20132,25,150,82
2026-03-31T21:19:19.563142,20132,25,163,82
2026-03-31T21:19:22.142592,20131,25,174,82
2026-03-31T21:19:24.674681,20130,25,180,82
2026-03-31T21:19:27.250441,20129,25,187,82
2026-03-31T21:19:29.782865,19881,25,202,82
2026-03-31T21:19:32.365519,19437,25,844,82
2026-03-31T21:19:34.898202,19399,25,1250,82
2026-03-31T21:19:37.486271,19392,25,1759,82
2026-03-31T21:19:40.019512,19384,25,2028,82
2026-03-31T21:19:42.604931,19374,25,2359,82
2026-03-31T21:19:45.137960,19371,25,2612,82
2026-03-31T21:19:47.718185,19360,25,2749,82
2026-03-31T21:19:50.251654,19356,25,2919,82
2026-03-31T21:19:52.831072,19351,25,3009,82
2026-03-31T21:19:55.412265,19358,25,3114,82
2026-03-31T21:19:57.954670,19337,25,3169,81
2026-03-31T21:20:00.529834,19333,25,3230,81
2026-03-31T21:20:03.072138,19339,25,3276,81
2026-03-31T21:20:05.652222,19319,25,3304,81
2026-03-31T21:20:08.195014,19319,25,3335,81
2026-03-31T21:20:10.774049,19311,25,3351,81
2026-03-31T21:20:13.317113,19314,25,3365,81
2026-03-31T21:20:15.899817,19302,25,3374,81
2026-03-31T21:20:18.443135,19287,25,3390,81
2026-03-31T21:20:21.023943,19281,25,3404,81
2026-03-31T21:20:23.567437,19274,25,3416,81
2026-03-31T21:20:26.139388,19271,25,3425,81
2026-03-31T21:20:28.727260,19279,25,3429,81
2026-03-31T21:20:31.263223,19262,25,3425,81
2026-03-31T21:20:33.849124,19275,25,3420,81
2026-03-31T21:20:36.425103,19698,25,3199,81
2026-03-31T21:20:38.969419,19832,25,2661,81
2026-03-31T21:20:41.542386,19850,25,2348,81
2026-03-31T21:20:44.145844,19863,25,1951,81
2026-03-31T21:20:46.682967,19872,25,1729,81
2026-03-31T21:20:49.278272,19883,25,1447,81
2026-03-31T21:20:51.816130,19890,25,1218,81
2026-03-31T21:20:54.406265,19897,25,1090,81
2026-03-31T21:20:56.944319,19904,25,927,81
2026-03-31T21:20:59.525498,19910,25,836,81
2026-03-31T21:21:02.064147,19915,25,721,81
2026-03-31T21:21:04.644354,19919,25,657,81
2026-03-31T21:21:07.240890,19924,25,575,81
2026-03-31T21:21:09.787807,19929,25,509,81
2026-03-31T21:21:12.376444,19933,25,472,81
2026-03-31T21:21:14.923755,19935,25,425,81
2026-03-31T21:21:17.500596,19940,25,399,81
2026-03-31T21:21:20.100556,19943,25,365,81
2026-03-31T21:21:22.641719,19946,25,347,81
2026-03-31T21:21:25.241703,19949,25,323,81
2026-03-31T21:21:27.781446,19951,25,304,81
2026-03-31T21:21:30.381838,19955,25,293,81
2026-03-31T21:21:32.922102,19956,25,280,81
2026-03-31T21:21:35.520269,19960,25,273,81
2026-03-31T21:21:38.060996,19962,25,263,81
2026-03-31T21:21:40.648625,19965,25,258,81
2026-03-31T21:21:43.251525,19967,25,251,81
2026-03-31T21:21:45.793124,19969,25,246,81
2026-03-31T21:21:48.393568,19970,25,243,81
2026-03-31T21:21:50.942811,19974,25,239,81
2026-03-31T21:21:53.526195,19974,25,237,81
2026-03-31T21:21:56.076121,19978,25,234,81
2026-03-31T21:21:58.655168,19979,25,232,81
2026-03-31T21:22:01.245496,19981,25,231,81
2026-03-31T21:22:03.787957,19983,25,230,81
2026-03-31T21:22:06.376015,19985,25,229,81
2026-03-31T21:22:08.961374,19985,25,228,81
2026-03-31T21:22:11.554095,19988,25,227,81
2026-03-31T21:22:14.162710,19989,25,227,81
2026-03-31T21:22:16.713310,19990,25,226,81
2026-03-31T21:22:19.294241,19993,25,226,81
2026-03-31T21:22:21.845457,19993,25,226,81
2026-03-31T21:22:24.430758,19996,25,226,81
2026-03-31T21:22:27.045057,19997,25,226,81
2026-03-31T21:22:29.589203,19998,25,226,81
2026-03-31T21:22:32.202918,20000,25,225,81
2026-03-31T21:22:34.747381,20001,25,225,80
2026-03-31T21:22:37.339468,20000,25,225,80
2026-03-31T21:22:39.939274,20002,25,225,80
2026-03-31T21:22:42.491571,20004,25,225,80
2026-03-31T21:22:45.079846,20005,25,225,80
2026-03-31T21:22:47.694923,20007,25,225,80
2026-03-31T21:22:50.240346,20009,25,225,80
2026-03-31T21:22:52.837334,20009,25,226,80
2026-03-31T21:22:55.451030,20010,25,225,80
2026-03-31T21:22:58.004473,20011,25,226,80
2026-03-31T21:23:00.609386,20010,25,226,80
2026-03-31T21:23:03.163307,20013,25,226,80
2026-03-31T21:23:05.750987,20013,25,226,80
2026-03-31T21:23:08.351145,20014,25,226,80
2026-03-31T21:23:10.897636,20016,25,226,80
2026-03-31T21:23:13.512976,20016,25,226,80
2026-03-31T21:23:16.059717,20017,25,226,80
2026-03-31T21:23:18.654546,20017,25,226,80
2026-03-31T21:23:21.272941,20017,25,226,80
2026-03-31T21:23:23.829176,20020,25,226,80
2026-03-31T21:23:26.419461,20020,25,226,80
2026-03-31T21:23:28.980133,20020,25,226,80
2026-03-31T21:23:31.575823,20020,25,226,80
2026-03-31T21:23:34.131552,20021,25,226,80
2026-03-31T21:23:36.729495,20022,25,226,80
2026-03-31T21:23:39.285230,20021,25,226,80
2026-03-31T21:23:41.877641,20024,25,226,80
2026-03-31T21:23:44.434105,20023,25,226,80
2026-03-31T21:23:47.044131,20023,25,226,80
2026-03-31T21:23:49.600979,20022,25,226,80
2026-03-31T21:23:52.193632,20025,25,226,80
2026-03-31T21:23:54.818275,20025,25,227,80
2026-03-31T21:23:57.367941,20025,25,227,80
2026-03-31T21:23:59.967418,20024,25,227,80
2026-03-31T21:24:02.587483,20026,25,227,80
2026-03-31T21:24:05.138041,20026,25,227,80
2026-03-31T21:24:07.737289,20026,25,227,80
2026-03-31T21:24:10.296141,20026,25,227,80
2026-03-31T21:24:12.909096,20026,25,227,80
2026-03-31T21:24:15.467444,20026,25,227,80
2026-03-31T21:24:18.062731,20025,25,227,80
2026-03-31T21:24:20.688437,20027,25,227,80
2026-03-31T21:24:23.240107,20027,25,228,80
2026-03-31T21:24:25.848445,20028,25,228,80
2026-03-31T21:24:28.400267,20030,25,228,80
2026-03-31T21:24:31.022152,20030,25,227,80
2026-03-31T21:24:33.573902,20028,25,228,80
2026-03-31T21:24:36.191628,20029,25,228,80
2026-03-31T21:24:38.744567,20029,25,227,80
2026-03-31T21:24:41.341387,20029,25,227,80
2026-03-31T21:24:43.894280,20030,25,227,80
2026-03-31T21:24:46.519588,20031,25,227,80
2026-03-31T21:24:49.072451,20030,25,227,80
2026-03-31T21:24:51.678472,20031,25,227,80
2026-03-31T21:24:54.281736,20030,25,227,80
2026-03-31T21:24:56.843585,20030,25,228,80
2026-03-31T21:24:59.456470,20031,25,227,80
2026-03-31T21:25:02.022766,20031,25,228,80
2026-03-31T21:25:04.637044,20032,25,228,80
2026-03-31T21:25:07.206365,20031,25,228,80
2026-03-31T21:25:09.812045,20031,25,228,80
2026-03-31T21:25:12.374151,20031,25,228,80
2026-03-31T21:25:14.984424,20032,25,228,80
2026-03-31T21:25:17.546788,20030,25,228,80
2026-03-31T21:25:20.159128,20030,25,229,80
2026-03-31T21:25:22.722244,20031,25,228,80
2026-03-31T21:25:25.314902,20031,25,228,80
2026-03-31T21:25:27.880094,20031,25,228,80
2026-03-31T21:25:30.504763,20031,25,228,80
2026-03-31T21:25:33.067698,20032,25,229,80
2026-03-31T21:25:35.683614,20031,25,229,80
2026-03-31T21:25:38.252494,20032,25,229,80
2026-03-31T21:25:40.846375,20033,25,229,80
2026-03-31T21:25:43.410822,20031,25,229,80
2026-03-31T21:25:46.030284,20032,25,228,80
2026-03-31T21:25:48.594430,20031,25,229,80
2026-03-31T21:25:51.220206,20032,25,229,80
2026-03-31T21:25:53.785591,20032,25,229,80
2026-03-31T21:25:56.390575,20032,25,229,80
2026-03-31T21:25:58.955670,20031,25,229,80
2026-03-31T21:26:01.565027,20032,25,229,80
2026-03-31T21:26:04.130567,20032,25,229,80
2026-03-31T21:26:06.757240,20032,25,229,80
2026-03-31T21:26:09.329896,20031,25,229,80
2026-03-31T21:26:11.949584,20032,25,229,80
2026-03-31T21:26:14.515075,20031,25,229,80
2026-03-31T21:26:17.127142,20031,25,229,80
2026-03-31T21:26:19.693808,20031,25,229,80
2026-03-31T21:26:22.303361,20032,25,229,80
2026-03-31T21:26:24.869787,20033,25,229,80
2026-03-31T21:26:27.491232,20031,25,229,80
2026-03-31T21:26:30.064408,20031,25,229,80
2026-03-31T21:26:32.675216,20031,25,229,80
2026-03-31T21:26:35.235764,20032,25,229,80
2026-03-31T21:26:37.860634,20033,25,229,80
2026-03-31T21:26:40.428060,20031,25,229,80
2026-03-31T21:26:43.051533,20031,25,229,80
2026-03-31T21:26:45.620034,20031,25,229,80
2026-03-31T21:26:48.234732,20031,25,229,80
2026-03-31T21:26:50.804549,20031,25,229,80
2026-03-31T21:26:53.425187,20031,25,229,80
2026-03-31T21:26:55.999430,20031,25,229,80
2026-03-31T21:26:58.626028,20032,25,229,80
2026-03-31T21:27:01.195117,20032,25,229,80
2026-03-31T21:27:03.823245,20030,25,229,80
2026-03-31T21:27:06.392833,20031,25,229,80
2026-03-31T21:27:09.022147,20030,25,229,80
2026-03-31T21:27:11.591757,20031,25,229,80
2026-03-31T21:27:14.222913,20030,25,229,80
2026-03-31T21:27:16.793302,20031,25,229,80
2026-03-31T21:27:19.427375,20031,25,229,80
2026-03-31T21:27:22.003069,20031,25,229,80
2026-03-31T21:27:24.628090,20031,25,229,80
2026-03-31T21:27:27.194674,20032,25,229,80
2026-03-31T21:27:29.825300,20029,25,229,80
2026-03-31T21:27:32.396568,20030,25,229,80
2026-03-31T21:27:35.025285,20030,25,229,80
2026-03-31T21:27:37.596826,20031,25,229,80
2026-03-31T21:27:40.225813,20031,25,229,80
2026-03-31T21:27:42.798161,20030,25,229,80
2026-03-31T21:27:45.426601,20031,25,229,80
2026-03-31T21:27:48.005105,20029,25,229,80
2026-03-31T21:27:50.638019,20030,25,229,80
2026-03-31T21:27:53.222166,20029,25,229,80
2026-03-31T21:27:55.845379,20029,25,230,80
2026-03-31T21:27:58.417477,20027,25,230,80
2026-03-31T21:28:01.053933,20030,25,230,80
2026-03-31T21:28:03.627729,20029,25,230,80
2026-03-31T21:28:06.263284,20030,25,230,80
2026-03-31T21:28:08.837604,20029,25,230,80
2026-03-31T21:28:11.474721,20028,25,230,80
2026-03-31T21:28:14.048282,20029,25,230,80
2026-03-31T21:28:16.676313,20029,25,230,80
2026-03-31T21:28:19.257238,20027,25,230,80
2026-03-31T21:28:21.895589,20029,25,230,80
2026-03-31T21:28:24.469500,20028,25,230,80
2026-03-31T21:28:27.105322,20028,25,230,80
2026-03-31T21:28:29.680253,20028,25,230,80
2026-03-31T21:28:32.315102,20027,25,230,80
2026-03-31T21:28:34.890464,20029,25,230,80
2026-03-31T21:28:37.528664,20028,25,230,80
2026-03-31T21:28:40.103640,20026,25,230,80
2026-03-31T21:28:42.738910,20027,25,230,80
2026-03-31T21:28:45.307871,20026,25,230,80
2026-03-31T21:28:47.941077,20026,25,229,80
2026-03-31T21:28:50.517295,20029,25,230,80
2026-03-31T21:28:53.144853,20027,25,230,80
2026-03-31T21:28:55.721554,20026,25,230,80
2026-03-31T21:28:58.347442,20025,25,230,80
2026-03-31T21:29:00.931129,20028,25,230,80
2026-03-31T21:29:03.557178,20028,25,230,80
2026-03-31T21:29:06.139654,20026,25,230,80
