timestamp,voltage,temperature,current
2026-03-29T17:24:45.119224,20460,25.100000000000023,-0.0
2026-03-29T17:24:46.532338,20460,25.100000000000023,-0.0
2026-03-29T17:24:47.939386,20460,25.100000000000023,-0.0
2026-03-29T17:24:49.346307,20460,25.100000000000023,-0.0
2026-03-29T17:24:50.752953,20460,25.100000000000023,-0.0
2026-03-29T17:24:52.165867,20460,25.100000000000023,-0.0
2026-03-29T17:24:53.602829,20459,25.100000000000023,-0.0
2026-03-29T17:24:55.009668,20460,25.100000000000023,-0.0
2026-03-29T17:24:56.423136,20460,25.100000000000023,-0.0
2026-03-29T17:24:57.831288,20460,25.100000000000023,-0.0
2026-03-29T17:24:59.239547,20460,25.100000000000023,-0.0
2026-03-29T17:25:00.646035,20460,25.100000000000023,-0.0
2026-03-29T17:25:02.053527,20460,25.100000000000023,-0.0
2026-03-29T17:25:03.465108,20460,25.100000000000023,-0.0
2026-03-29T17:25:04.872390,20460,25.100000000000023,-0.0
2026-03-29T17:25:06.278827,20460,25.100000000000023,-0.0
2026-03-29T17:25:07.693643,20460,25.100000000000023,-0.0
2026-03-29T17:25:09.100015,20460,25.100000000000023,-0.0
2026-03-29T17:25:10.506427,20460,25.100000000000023,-0.0
2026-03-29T17:25:11.912844,20460,25.100000000000023,-0.0
2026-03-29T17:25:13.325433,20460,25.100000000000023,-0.0
2026-03-29T17:25:14.756612,20460,25.100000000000023,-0.0
2026-03-29T17:25:16.164150,20460,25.100000000000023,-0.0
2026-03-29T17:25:17.570574,20459,25.100000000000023,-0.0
2026-03-29T17:25:18.981089,20460,25.100000000000023,-0.0
2026-03-29T17:25:20.387957,20460,25.100000000000023,0.01
2026-03-29T17:25:21.794594,20460,25.100000000000023,0.01
2026-03-29T17:25:23.210419,20460,25.100000000000023,-0.0
2026-03-29T17:25:24.619526,20460,25.100000000000023,-0.0
2026-03-29T17:25:26.026079,20460,25.100000000000023,0.01
2026-03-29T17:25:27.437048,20460,25.100000000000023,0.01
2026-03-29T17:25:28.852130,20460,25.100000000000023,0.01
