timestamp,voltage,temperature,current,soc,dt_seconds,runtime_left_minutes,abs_current,power,voltage_lag1,current_lag1,temperature_lag1,avg_voltage_5,avg_current_5,avg_temp_5,d_voltage,d_current,d_temperature
51:00.4,19929,25,1362,86,2.58666,634,1362,27143298,19917,1323,25,19912.6,1281.6,25,12,39,0
51:03.0,19924,25,1357,85,2.598378,629,1357,27036868,19929,1362,25,19908.4,1315.4,25,-5,-5,0
51:05.5,19870,25,1386,85,2.553769,616,1386,27539820,19924,1357,25,19902,1346.8,25,-54,29,0
51:08.1,19863,25,1440,85,2.575882,593,1440,28602720,19870,1386,25,19900.6,1373.6,25,-7,54,0
51:10.6,19935,25,1446,85,2.54799,590,1446,28826010,19863,1440,25,19904.2,1398.2,25,72,6,0
51:13.2,19930,25,1413,85,2.574865,604,1413,28161090,19935,1446,25,19904.4,1408.4,25,-5,-33,0
51:15.8,19872,25,1400,85,2.596808,610,1400,27820800,19930,1413,25,19894,1417,25,-58,-13,0
51:18.3,19745,25,1492,85,2.541067,572,1492,29459540,19872,1400,25,19869,1438.2,25,-127,92,0
51:20.9,19557,25,1755,85,2.594649,486,1755,34322535,19745,1492,25,19807.8,1501.2,25,-188,263,0
51:23.5,19373,25,2038,85,2.540978,419,2038,39482174,19557,1755,25,19695.4,1619.6,25,-184,283,0
51:26.1,19662,25,2208,85,2.597838,386,2208,43413696,19373,2038,25,19641.8,1778.6,25,289,170,0
51:28.6,19783,25,2208,85,2.541157,386,2208,43680864,19662,2208,25,19624,1940.2,25,121,0,0
51:31.2,19897,25,2064,85,2.587141,413,2064,41067408,19783,2208,25,19654.4,2054.6,25,114,-144,0
51:33.8,19889,25,1953,85,2.585984,437,1953,38843217,19897,2064,25,19720.8,2094.2,25,-8,-111,0
51:36.3,19896,25,1817,85,2.550313,470,1817,36151032,19889,1953,25,19825.4,2050,25,7,-136,0
51:38.9,20071,25,1580,85,2.581197,540,1580,31712180,19896,1817,25,19907.2,1924.4,25,175,-237,0
51:41.5,20085,25,1407,85,2.58988,607,1407,28259595,20071,1580,25,19967.6,1764.2,25,14,-173,0
51:44.1,20093,25,1188,85,2.584088,719,1188,23870484,20085,1407,25,20006.8,1589,25,8,-219,0
51:46.6,20098,25,1068,85,2.550332,799,1068,21464664,20093,1188,25,20048.6,1412,25,5,-120,0
51:49.2,20103,25,917,85,2.581776,931,917,18434451,20098,1068,25,20090,1232,25,5,-151,0
51:51.8,20107,25,832,85,2.600602,1026,832,16729024,20103,917,25,20097.2,1082.4,25,4,-85,0
51:54.4,20117,25,724,85,2.585917,1179,724,14564708,20107,832,25,20103.6,945.8,25,10,-108,0
51:57.0,20120,25,635,85,2.613417,1345,635,12776200,20117,724,25,20109,835.2,25,3,-89,0
51:59.6,20112,25,586,85,2.543059,1457,586,11785632,20120,635,25,20111.8,738.8,25,-8,-49,0
52:02.2,20125,25,525,85,2.605679,1627,525,10565625,20112,586,25,20116.2,660.4,25,13,-61,0
52:04.7,20129,25,487,85,2.543698,1754,487,9802823,20125,525,25,20120.6,591.4,25,4,-38,0
52:07.3,20132,25,441,85,2.590435,1937,441,8878212,20129,487,25,20123.6,534.8,25,3,-46,0
52:09.9,20133,25,402,85,2.594087,2125,402,8093466,20132,441,25,20126.2,488.2,25,1,-39,0
52:12.5,20138,25,381,85,2.551697,2242,381,7672578,20133,402,25,20131.4,447.2,25,5,-21,0
52:15.0,20140,25,354,85,2.584603,2413,354,7129560,20138,381,25,20134.4,413,25,2,-27,0
52:17.6,20142,25,338,85,2.597107,2527,338,6807996,20140,354,25,20137,383.2,25,2,-16,0
52:20.2,20106,25,353,85,2.545267,2419,353,7097418,20142,338,25,20131.8,365.6,25,-36,15,0
52:22.8,20144,25,330,85,2.609597,2588,330,6647520,20106,353,25,20134,351.2,25,38,-23,0
52:25.3,20146,25,317,85,2.544982,2694,317,6386282,20144,330,25,20135.6,338.4,25,2,-13,0
52:27.9,20148,25,301,85,2.587797,2838,301,6064548,20146,317,25,20137.2,327.8,25,2,-16,0
